"mes_trigo","precio_dolar_trigo_ton","precio_COP_trigo_ton","año_impo","impo_canti_miles_ton","fecha_ipc","ipc %","fecha_trm","trm"
"6/1/2005","$ 142"," $  330,341 ","","","2010-06","0.11","6/1/2004"," $  81,494 "
"7/1/2005","$ 144"," $  334,397 ","","","2010-07","-0.04","7/1/2004"," $  82,185 "
"8/1/2005","$ 149"," $  344,425 ","","","2010-08","0.11","8/1/2004"," $  80,580 "
"9/1/2005","$ 160"," $  366,458 ","","","2010-09","-0.14","9/1/2004"," $  76,602 "
"10/1/2005","$ 168"," $  384,794 ","","","2010-10","-0.09","10/1/2004"," $  79,987 "
"11/1/2005","$ 161"," $  367,466 ","","","2010-11","0.19","11/1/2004"," $  75,905 "
"12/1/2005","$ 164"," $  374,584 ","","","2010-12","0.65","12/1/2004"," $  74,812 "
"1/1/2006","$ 167"," $  380,369 ","","","2011-01","0.91","1/1/2005"," $  73,300 "
"2/1/2006","$ 180"," $  405,194 ","","","2011-02","0.6","2/1/2005"," $  65,509 "
"3/1/2006","$ 174"," $  395,397 ","","","2011-03","0.27","3/1/2005"," $  73,061 "
"4/1/2006","$ 180"," $  424,644 ","","","2011-04","0.12","4/1/2005"," $  70,530 "
"5/1/2006","$ 193"," $  464,198 ","","","2011-05","0.28","5/1/2005"," $  72,520 "
"6/1/2006","$ 195"," $  497,973 ","","","2011-06","0.32","6/1/2005"," $  69,943 "
"7/1/2006","$ 202"," $  511,084 ","","","2011-07","0.14","7/1/2005"," $  72,006 "
"8/1/2006","$ 190"," $  454,747 ","","","2011-08","-0.03","8/1/2005"," $  71,510 "
"9/1/2006","$ 196"," $  470,054 ","","","2011-09","0.31","9/1/2005"," $  68,864 "
"10/1/2006","$ 212"," $  501,700 ","","","2011-10","0.19","10/1/2005"," $  71,074 "
"11/1/2006","$ 210"," $  480,468 ","","","2011-11","0.14","11/1/2005"," $  68,392 "
"12/1/2006","$ 204"," $  462,423 ","","","2011-12","0.42","12/1/2005"," $  70,635 "
"1/1/2007","$ 196"," $  438,284 ","","","2012-01","0.73","1/1/2006"," $  70,485 "
"2/1/2007","$ 200"," $  445,094 ","","","2012-02","0.61","2/1/2006"," $  63,162 "
"3/1/2007","$ 199"," $  438,122 ","","","2012-03","0.12","3/1/2006"," $  70,119 "
"4/1/2007","$ 198"," $  426,171 ","","","2012-04","0.14","4/1/2006"," $  70,054 "
"5/1/2007","$ 196"," $  389,993 ","","","2012-05","0.3","5/1/2006"," $  74,978 "
"6/1/2007","$ 223"," $  428,516 ","","","2012-06","0.08","6/1/2006"," $  76,267 "
"7/1/2007","$ 238"," $  464,001 ","","","2012-07","-0.02","7/1/2006"," $  77,925 "
